company_id,type,rule_id,text,confidence_pct
ABB,pro,PRO_1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
ABB,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90
ABB,pro,PRO_9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,91
ABB,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,90
ABB,pro,PRO_5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,88
ABB,pro,PRO_6,Net profit compounding at above 20% over 5 years creates significant shareholder value.,93
ADANIENSOL,pro,PRO_4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,90
ADANIENSOL,con,CON_1,High debt-to-equity ratio indicates elevated financial leverage and risk.,95
ADANIENSOL,con,CON_9,Earnings per share have declined consistently over three years.,90
ADANIENT,pro,PRO_9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,91
ADANIENT,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality.,87
ADANIENT,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,90
ADANIENT,pro,PRO_4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,90
ADANIENT,pro,PRO_6,Net profit compounding at above 20% over 5 years creates significant shareholder value.,93
ADANIGREEN,pro,PRO_4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,90
ADANIGREEN,pro,PRO_5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,88
ADANIGREEN,con,CON_1,High debt-to-equity ratio indicates elevated financial leverage and risk.,95
ADANIPORTS,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,90
ADANIPORTS,pro,PRO_5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,88
ADANIPOWER,pro,PRO_1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
ADANIPOWER,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality.,87
ADANIPOWER,pro,PRO_2,Strong free cash flow generation over 5 years signals healthy business fundamentals.,92
ADANIPOWER,pro,PRO_4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,90
ADANIPOWER,pro,PRO_5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,88
AMBUJACEM,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90
AMBUJACEM,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,90
AMBUJACEM,con,CON_5,"Revenue has declined for consecutive years, indicating weakening business momentum.",90
APOLLOHOSP,pro,PRO_9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,91
APOLLOHOSP,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,90
APOLLOHOSP,pro,PRO_2,Strong free cash flow generation over 5 years signals healthy business fundamentals.,92
APOLLOHOSP,pro,PRO_6,Net profit compounding at above 20% over 5 years creates significant shareholder value.,93
ASIANPAINT,pro,PRO_1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
ASIANPAINT,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90
ASIANPAINT,pro,PRO_9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,91
ASIANPAINT,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,90
ASIANPAINT,pro,PRO_2,Strong free cash flow generation over 5 years signals healthy business fundamentals.,92
ASIANPAINT,pro,PRO_6,Net profit compounding at above 20% over 5 years creates significant shareholder value.,93
AXISBANK,pro,PRO_9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,91
AXISBANK,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,90
AXISBANK,pro,PRO_5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,88
AXISBANK,pro,PRO_6,Net profit compounding at above 20% over 5 years creates significant shareholder value.,93
AXISBANK,con,CON_1,High debt-to-equity ratio indicates elevated financial leverage and risk.,95
AXISBANK,con,CON_3,Operating margins have declined for three consecutive years.,88
BAJAJ-AUTO,pro,PRO_1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
BAJAJ-AUTO,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90
BAJAJ-AUTO,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,90
BAJAJ-AUTO,pro,PRO_2,Strong free cash flow generation over 5 years signals healthy business fundamentals.,92
BAJAJFINSV,pro,PRO_1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
BAJAJFINSV,pro,PRO_9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,91
BAJAJFINSV,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,90
BAJAJFINSV,pro,PRO_4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,90
